id_1,id_2,shared_length_m
110,112,0.0
190,235,0.0
190,238,0.0
190,239,0.0
252,277,0.0
113,115,0.0
259,260,0.0
267,268,0.0
109,117,0.0
36,145,0.0
109,112,0.0
108,116,0.0
104,115,0.0
157,182,0.0
268,271,0.0
244,268,0.0
245,268,0.0
283,297,0.0
48,49,0.0
247,281,0.0
136,149,0.0
136,150,0.0
124,188,0.0
187,288,0.0
159,164,0.0
161,162,0.0
148,168,0.0
261,269,0.0
173,181,0.0
269,271,0.0
53,56,0.0
263,265,0.0
252,258,0.501952138537419
270,275,3.6117981916887487
67,93,8.966753944331884
187,286,9.79548036198137
60,93,9.796142611693273
168,171,10.052419397320016
241,281,11.352664753264968
244,261,11.391630226193122
194,265,11.45911292345496
238,239,11.566107155126451
287,288,12.095155256497002
154,157,14.221386421827887
9,15,15.876770363136261
168,170,16.02789392454939
209,210,16.534610110259884
169,171,17.247606027656392
182,183,17.45344507699715
137,149,18.282794818460577
153,154,18.307180962667054
158,177,18.656620560849507
170,171,18.93654841091284
66,69,19.154745005455048
260,269,19.30925220096722
164,165,19.404383489209184
111,112,19.869413528808067
58,94,19.954160258027905
1,2,19.982556803174752
144,145,19.984502167210124
151,152,19.98532474513941
293,294,19.98538340378164
22,23,19.985718286261893
306,307,19.985760211512478
241,242,19.98585044497814
34,35,19.985876208938528
177,178,19.98596251453959
157,158,19.986147325219576
21,22,19.986784111857023
44,45,19.986803493435488
258,259,19.98769476913386
43,44,19.987966495478798
218,219,19.988027791961603
276,277,19.988171299816152
10,11,19.988319647900028
223,224,19.988399029483837
35,36,19.98861576936102
135,136,19.98868145115815
243,244,19.988688933956382
14,15,19.98870671596972
112,113,19.988802857650498
200,201,19.98885504151765
134,135,19.988907721435538
239,240,19.989093136263
173,174,19.989174795374428
318,319,19.98919800801988
198,199,19.989211992557124
92,93,19.989259750817247
36,37,19.989352795838293
260,261,19.98946905013765
70,71,19.989591000538546
183,184,19.98998432919055
229,230,19.989998580256227
39,40,19.990006824137623
102,103,19.9901104786097
86,87,19.990153816716518
255,256,19.990209904629925
162,163,19.99030479124028
91,92,19.99031987145736
227,228,19.99035696925311
193,194,19.990450438090456
317,318,19.99051923886411
201,202,19.99053795060328
122,123,19.9906944411822
30,31,19.990697123314696
6,7,19.991070435170627
308,309,19.991114780427353
18,19,19.991122242754766
146,147,19.99152055938066
230,231,19.991676450840412
150,151,19.991686325079208
265,266,19.991754291454626
79,80,19.991885828386927
131,132,19.991924491993533
312,313,19.99197826179359
4,5,19.99207157035108
313,314,19.992163051377815
217,218,19.99219213809951
128,129,19.99233379853715
42,43,19.99243222120051
172,173,19.99244484578705
83,84,19.99258843156666
322,323,19.992590912349836
88,89,19.9926007885349
202,203,19.992618353527906
166,167,19.99262762446699
187,188,19.992741539283575
211,212,19.992784602135803
290,291,19.992853221771853
100,101,19.99286318819312
32,33,19.992865982922456
221,222,19.99293338215864
235,236,19.99296716582016
26,27,19.99312744741677
143,144,19.993153976768337
298,299,19.99327295051578
189,190,19.993276711279147
250,251,19.993351264150352
247,248,19.993417178468974
132,133,19.99349158855493
121,122,19.99370148424466
300,301,19.993734135786212
314,315,19.993738867535818
118,119,19.993798660528817
285,286,19.99384755189407
103,104,19.99385215660103
213,214,19.99412986223074
38,39,19.99414830540058
101,102,19.994325340403535
16,17,19.994361457393914
234,235,19.994561812429346
323,324,19.994578299511534
130,131,19.994605916270913
37,38,19.994624097689247
41,42,19.994704395394187
245,246,19.99485586787104
179,180,19.994899011056447
231,232,19.994944556934776
207,208,19.9949662873655
215,216,19.994983966006426
141,142,19.995135726146593
246,247,19.995174700030784
147,148,19.99524260878905
98,99,19.995402410798803
89,90,19.99543252403009
126,127,19.99552075225648
216,217,19.9955692854315
64,65,19.995602411198014
127,128,19.99566197998083
194,195,19.99566606423995
302,303,19.995731611578485
191,192,19.995967143802588
107,108,19.995974170092307
192,193,19.996012910326684
97,98,19.99602495367062
288,289,19.996045793918483
40,41,19.996256775806064
50,51,19.996430609020674
242,243,19.996528129064032
120,121,19.9965297120714
190,191,19.996647932331605
90,91,19.996792280679465
165,166,19.996796554559207
76,77,19.997001346507922
321,322,19.997094104145212
31,32,19.997151862077526
252,253,19.997200289882382
23,24,19.997219652431582
53,54,19.99747958190144
56,57,19.997680437454843
94,95,19.997760533189357
85,86,19.997796466988802
249,250,19.997837246169283
205,206,19.997867248823596
309,310,19.997910891155954
108,109,19.99799471488677
33,34,19.998080879869605
188,189,19.998382007828326
13,14,19.99846109572923
123,124,19.998644899584086
310,311,19.99867634821547
84,85,19.99874447363079
212,213,19.998763374035583
210,211,19.9987931510799
148,149,19.999018661324936
240,241,19.99918049288756
304,305,19.999304585994924
168,169,19.999697328534662
226,227,20.000580076980626
138,139,20.00088838787599
199,200,20.000976178201327
125,126,20.00102092735609
49,50,20.001216273905108
28,29,20.00355585206257
74,75,20.00357898970245
324,325,20.005685055257178
139,140,20.0062851714643
225,226,20.006493434165954
197,198,20.007871649958176
81,82,20.00950171970708
117,118,20.011624022861298
311,312,20.012701020531978
140,141,20.01314358603276
19,20,20.013795509561845
119,120,20.017409640075595
9,10,20.01856353173922
24,25,20.019674665446438
133,134,20.019923479241484
66,67,20.022286672971777
219,220,20.022743643680084
99,100,20.02472997543525
195,196,20.02622591407135
142,143,20.027547344815375
196,197,20.027668404988958
273,274,20.028272796440532
185,186,20.02935752097327
61,62,20.030475660163383
316,317,20.034115106548153
72,73,20.038913774864138
109,110,20.039640674339807
204,205,20.04959237487278
11,12,20.054189928123577
319,320,20.060756860849704
29,30,20.064349564683113
281,282,20.070645317361627
137,138,20.078168638177885
114,115,20.084872464970562
27,28,20.087657832804574
149,150,20.089488654612687
224,225,20.09191213306803
45,46,20.09531232760289
262,263,20.095345852535225
136,137,20.10322763807854
176,177,20.106288743524214
62,63,20.11062255498073
25,26,20.11067841065821
232,233,20.134188230324938
8,9,20.140695536148236
15,16,20.141713079026644
17,18,20.179032099282665
47,48,20.18861654150046
222,223,20.233142458092125
73,74,20.23917283648052
220,221,20.25805125640469
58,59,20.3049070888654
96,97,20.30853323607503
174,175,20.315286121950102
236,237,20.350026583687473
244,275,20.395842988996506
93,94,20.451495336306913
154,155,20.516807728552315
203,204,20.609381563901067
228,229,20.693518688401454
283,284,20.725088783579675
78,79,20.728086906096394
95,96,20.792609892229336
160,161,20.887229577444693
278,279,21.064285291917034
87,88,21.29031206232171
253,254,21.366901359104773
51,52,21.384321968403945
295,296,21.390354215883384
105,106,21.403130358413545
158,159,21.555107805728102
129,130,21.593018120562714
20,21,21.919547802645738
286,287,22.091435389600093
245,275,22.373381188779746
270,271,22.831620674541185
235,238,23.120504933584538
69,70,23.700420060140466
68,69,23.84491617273514
280,281,24.278355841935117
73,79,24.33170320133454
105,107,24.705499276117163
244,260,26.32314280504743
169,170,26.488585177113453
264,265,26.938789521365564
255,281,27.9601101139706
271,275,28.22781756549427
252,257,29.503341029898998
253,281,30.332726056685246
154,179,30.915571395777345
206,214,31.504852461364116
149,153,33.16200060865066
162,184,34.40839614158269
166,182,34.88872815703369
315,316,35.16208448780261
161,177,35.387686469677305
255,279,36.00784636309932
244,271,36.29119046610616
159,177,37.8606681155798
51,57,37.877316204206075
245,271,37.89464646473371
155,183,38.13988274351625
164,177,38.218508668353785
126,295,38.33058801425412
188,295,39.095857756016066
260,267,39.20683920578978
52,94,39.54295306200672
245,260,39.71237495840376
188,290,39.87010538746574
155,157,39.984077260351114
253,279,40.05407791783519
250,279,40.05512614425683
292,295,40.070311558132545
253,277,40.260042532080554
251,276,40.27754735841192
247,279,40.32831975226947
165,174,40.33664397996844
109,115,40.341569578747226
193,260,40.555280019179804
286,289,40.77387043693439
173,183,41.12658403975171
157,173,41.84032992930277
259,271,41.88995166807925
274,275,42.0230076597194
103,111,43.6531713041119
155,179,44.155359583545504
137,177,44.693723238284974
254,281,44.740996135670144
259,268,44.863984492953726
194,264,45.175997747276014
191,234,45.365766111532686
255,282,45.91706495918788
63,66,46.31918313918999
256,277,46.62235435257676
62,66,46.689128645837634
257,258,46.876269527545446
128,236,47.126746899542205
155,178,48.243798539255295
158,161,48.48745990611562
149,154,49.10470563181405
245,274,49.542361496617296
244,274,49.87092117606123
51,94,50.21745040959434
165,177,50.38727346460669
54,55,51.54273045235838
157,181,52.24683033026208
268,269,52.294240152387665
60,94,52.33457357971152
103,110,52.7166642628318
3,13,53.000608101206446
158,163,53.40803820687524
47,96,54.737694662882305
265,272,55.19382190898655
320,321,55.19795217819991
125,188,56.18044295918132
251,258,56.88018872631328
53,94,56.98666496362413
178,183,57.666667141124385
193,259,58.4652741577538
188,296,58.627869084020446
4,7,59.32800534748513
67,92,60.09177184098226
104,117,60.73911135778095
116,117,61.39947710369589
54,56,61.65140797914414
167,180,63.35133322678044
46,99,64.46144777494786
107,117,64.65241186387709
259,267,64.94071782795993
66,68,66.10062007024652
169,180,66.18624467241487
128,237,66.84831982292852
105,117,67.20342659443133
258,273,68.10778396293351
194,256,71.3957469553234
157,179,71.4072799171724
193,269,73.22100052675052
244,270,74.5774522651979
245,270,74.67491781218739
124,187,75.27348048620446
259,269,75.44329522001391
74,76,75.53204522154776
63,65,75.96893280044462
245,259,75.97450495609054
103,115,76.88027284898104
115,117,77.02781203527809
249,281,77.10156564603591
242,279,77.37319773856213
187,287,77.62731792421144
244,259,77.8521777637994
138,175,79.10723155479079
241,280,79.46777403193464
103,112,80.31344712803751
148,167,81.22837643944703
137,158,81.5085543571595
47,49,82.19519662908507
243,245,82.74407443336605
103,109,83.24041182340524
126,293,83.51527138824535
61,93,84.88833304496202
115,116,85.51938281789832
206,207,85.65326699881865
267,269,86.70593190356368
139,146,86.95253317384673
157,166,87.70717510803962
259,272,88.39981256689504
246,276,89.01882508084681
193,244,90.18645892601496
286,288,91.14656188437526
248,281,91.94270221834769
137,150,93.92057922405058
244,267,93.95797886585504
235,239,94.22492371718076
4,6,96.60435061870179
156,183,98.55838405621532
293,295,100.69317495909063
173,178,102.49852854301572
108,117,102.71275218736557
156,166,103.3340369106125
258,263,103.60703802870412
301,302,104.86752858489727
59,94,104.89778227897222
166,183,105.53892011821623
158,184,105.65951039873107
125,290,106.63122922577442
137,176,108.17759178105035
244,269,109.2305083884029
158,162,109.92808144840802
245,269,112.58017052316475
113,114,113.73128155731348
262,265,114.09592385492981
245,261,114.12392220710178
261,267,115.52765094671099
50,57,117.38480640031375
194,257,117.60474055288188
255,278,122.64974478717454
4,13,125.36200073895742
193,261,127.9669317985485
160,177,129.26810707824131
188,297,131.25344052938513
207,213,131.65154334755306
8,15,136.5572959538197
103,117,140.16727711164896
73,78,141.80525717860758
126,292,143.17496732986666
165,185,146.64602842328577
193,266,149.33539385282666
167,172,150.19137250608424
284,285,153.0793635735109
188,283,156.31744920521479
192,215,156.9040714138569
138,174,157.28099242754513
283,285,157.887362931334
243,246,171.1689556422335
300,303,180.07535567206895
67,71,180.12444106840772
172,181,187.81323804234336
193,245,193.41877228089115
245,267,193.97540588469104
193,267,195.1592900107242
149,168,230.5235693738711
299,302,230.53353109033628
298,302,262.9725106341487
208,213,267.1630429900148
299,300,297.95776889804654
47,97,304.2870700192332
191,215,345.3130696871444
244,245,399.04588628307357
207,214,433.49361650272834
300,302,624.1839166014032
190,234,760.9725480489786
299,303,1624.299837689743
